H_vector,DD_vector,UD_vector,H_stats,DD_stats,UD_stats,char_count,total_duration,typing_rollover_ratio,backspace_count,char_sequence,masked_sequence,username,data_type,quality_label,quality_score,password_strength,password_score
"[0.1625, 0.09480000001192093, 0.185, 0.11830000001192092, 0.20080000001192094, 0.12039999997615815, 0.12329999995231629, 0.14760000002384185, 0.10680000001192093, 0.12810000002384186]","[0.3, 0.3135999999642372, 0.338, 0.27030000001192095, 0.3209000000357628, 0.2875, 0.3775999999642372, 0.30410000002384185, 0.27609999996423723]","[0.1375, 0.21879999995231628, 0.153, 0.152, 0.12010000002384186, 0.16710000002384187, 0.25430000001192093, 0.1565, 0.1692999999523163]","{""mean"": 0.1387600000023842, ""std"": 0.03446593165148632, ""min"": 0.09480000001192093, ""max"": 0.20080000001192094}","{""mean"": 0.30978888888491524, ""std"": 0.033263134409127884, ""min"": 0.27030000001192095, ""max"": 0.3775999999642372}","{""mean"": 0.1698444444404708, ""std"": 0.04159044694565702, ""min"": 0.12010000002384186, ""max"": 0.25430000001192093}",10,2.916199999988079,0.0,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.16630000001192094, 0.11039999997615814, 0.13809999996423722, 0.13169999998807908, 0.16339999997615814, 0.1335, 0.10460000002384186, 0.18769999998807907, 0.18, 0.1447999999523163]","[0.21530000001192093, 0.24019999998807906, 0.1925, 0.17030000001192092, 0.07579999995231629, 0.11280000001192093, 0.2205, 0.09460000002384186, 0.13530000001192094]","[0.049, 0.12980000001192094, 0.054400000035762786, 0.038600000023841854, -0.08760000002384186, -0.02069999998807907, 0.11589999997615814, -0.0930999999642372, -0.044699999988079074]","{""mean"": 0.14604999998807908, ""std"": 0.027919775945089282, ""min"": 0.10460000002384186, ""max"": 0.18769999998807907}","{""mean"": 0.16192222222354677, ""std"": 0.05967013025622496, ""min"": 0.07579999995231629, ""max"": 0.24019999998807906}","{""mean"": 0.01573333334260517, ""std"": 0.08190793612086128, ""min"": -0.0930999999642372, ""max"": 0.12980000001192094}",10,1.6020999999642371,0.4444444444444444,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.16759999996423722, 0.11729999995231628, 0.11519999998807907, 0.12089999997615815, 0.1465, 0.08330000001192094, 0.12279999995231629, 0.2035, 0.17690000003576278, 0.132]","[0.10630000001192093, 0.2085, 0.14539999997615813, 0.11389999997615814, 0.09190000003576279, 0.06480000001192093, 0.2577999999523163, 0.071, 0.12670000004768373]","[-0.06129999995231628, 0.09120000004768372, 0.03019999998807907, -0.007, -0.054599999964237214, -0.0185, 0.135, -0.1325, -0.05019999998807907]","{""mean"": 0.13859999998807906, ""std"": 0.035352416237219776, ""min"": 0.08330000001192094, ""max"": 0.2035}","{""mean"": 0.13181111111243565, ""std"": 0.06395131827367961, ""min"": 0.06480000001192093, ""max"": 0.2577999999523163}","{""mean"": -0.007522222207652197, ""std"": 0.08227364064097142, ""min"": -0.1325, ""max"": 0.135}",10,1.318300000011921,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.14419999998807906, 0.133, 0.149, 0.12289999997615814, 0.17569999998807906, 0.15169999998807907, 0.1105, 0.2124000000357628, 0.185, 0.117]","[0.08089999997615814, 0.20789999997615813, 0.1574000000357628, 0.092, 0.07069999998807908, 0.12010000002384186, 0.2590999999642372, 0.07019999998807908, 0.10870000004768371]","[-0.06330000001192093, 0.07489999997615814, 0.008400000035762786, -0.03089999997615814, -0.105, -0.031599999964237215, 0.1485999999642372, -0.1422000000476837, -0.07629999995231629]","{""mean"": 0.15013999999761582, ""std"": 0.03247091691079045, ""min"": 0.1105, ""max"": 0.2124000000357628}","{""mean"": 0.12966666666666665, ""std"": 0.06612868136414857, ""min"": 0.07019999998807908, ""max"": 0.2590999999642372}","{""mean"": -0.024155555552906462, ""std"": 0.09051167204692091, ""min"": -0.1422000000476837, ""max"": 0.1485999999642372}",10,1.284,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.14160000002384185, 0.11339999997615814, 0.17119999998807908, 0.07060000002384186, 0.19019999998807907, 0.18989999997615814, 0.09959999996423721, 0.2275, 0.14280000001192092, 0.15010000002384186]","[0.08390000003576278, 0.214, 0.19769999998807908, 0.01830000001192093, 0.061, 0.183, 0.22480000001192094, 0.09189999997615814, 0.10239999997615815]","[-0.05769999998807907, 0.10060000002384185, 0.0265, -0.05230000001192093, -0.12919999998807907, -0.006899999976158142, 0.12520000004768372, -0.13560000002384187, -0.04040000003576279]","{""mean"": 0.1496899999976158, ""std"": 0.047104221322528034, ""min"": 0.07060000002384186, ""max"": 0.2275}","{""mean"": 0.13077777777777777, ""std"": 0.07500529610748666, ""min"": 0.01830000001192093, ""max"": 0.22480000001192094}","{""mean"": -0.018866666661368478, ""std"": 0.09091097295180714, ""min"": -0.13560000002384187, ""max"": 0.12520000004768372}",10,1.3271000000238418,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.15380000001192093, 0.11039999997615814, 0.18030000001192092, 0.12080000001192093, 0.157, 0.1625999999642372, 0.10019999998807907, 0.23739999997615815, 0.16459999996423721, 0.14289999997615815]","[0.10160000002384185, 0.21319999998807906, 0.16130000001192094, 0.12430000001192093, 0.07730000001192093, 0.11769999998807908, 0.304, 0.099, 0.10319999998807908]","[-0.052199999988079074, 0.10280000001192093, -0.019, 0.0035, -0.07969999998807907, -0.04489999997615814, 0.20380000001192092, -0.13839999997615815, -0.061399999976158144]","{""mean"": 0.15299999998807906, ""std"": 0.039233574054958455, ""min"": 0.10019999998807907, ""max"": 0.23739999997615815}","{""mean"": 0.1446222222248713, ""std"": 0.07219809169206495, ""min"": 0.07730000001192093, ""max"": 0.304}","{""mean"": -0.009499999986754527, ""std"": 0.10348957676667367, ""min"": -0.13839999997615815, ""max"": 0.20380000001192092}",10,1.4445,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.14490000003576278, 0.13619999998807908, 0.16769999998807908, 0.13369999998807908, 0.1584000000357628, 0.114, 0.11759999996423721, 0.2037999999523163, 0.13489999997615815, 0.1105]","[0.09020000004768372, 0.24009999996423723, 0.14840000003576279, 0.1260999999642372, 0.087, 0.056100000023841856, 0.20630000001192092, 0.081, 0.08659999996423721]","[-0.05469999998807907, 0.10389999997615815, -0.019299999952316283, -0.007600000023841858, -0.07140000003576279, -0.05789999997615814, 0.08870000004768372, -0.12279999995231629, -0.04830000001192093]","{""mean"": 0.14216999999284743, ""std"": 0.02844363040846124, ""min"": 0.1105, ""max"": 0.2037999999523163}","{""mean"": 0.124644444445769, ""std"": 0.06246813409018419, ""min"": 0.056100000023841856, ""max"": 0.24009999996423723}","{""mean"": -0.02104444443517261, ""std"": 0.07413039374831629, ""min"": -0.12279999995231629, ""max"": 0.10389999997615815}",10,1.2323000000119209,0.7777777777777778,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.141, 0.1319000000357628, 0.19189999997615814, 0.11, 0.12530000001192093, 0.1540999999642372, 0.12830000001192093, 0.21280000001192093, 0.19230000001192094, 0.13019999998807907]","[0.0695, 0.22260000002384187, 0.161, 0.15689999997615814, 0.037400000035762784, 0.10839999997615814, 0.20689999997615816, 0.05330000001192093, 0.12410000002384186]","[-0.0715, 0.09069999998807907, -0.03089999997615814, 0.046899999976158145, -0.08789999997615815, -0.04569999998807907, 0.07859999996423721, -0.1595, -0.06819999998807907]","{""mean"": 0.1517800000011921, ""std"": 0.03488950176110499, ""min"": 0.11, ""max"": 0.21280000001192093}","{""mean"": 0.12667777778042688, ""std"": 0.06585297596490668, ""min"": 0.037400000035762784, ""max"": 0.22260000002384187}","{""mean"": -0.0275, ""std"": 0.0834949549236351, ""min"": -0.1595, ""max"": 0.09069999998807907}",10,1.270300000011921,0.6666666666666666,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.14719999998807906, 0.11940000003576279, 0.17059999996423722, 0.13569999998807908, 0.14960000002384186, 0.11080000001192093, 0.1280999999642372, 0.22439999997615814, 0.17669999998807906, 0.0975]","[0.09809999996423721, 0.1987000000476837, 0.19069999998807907, 0.1555999999642372, 0.07530000001192093, 0.11310000002384185, 0.2571999999880791, 0.060699999988079074, 0.12819999998807907]","[-0.04910000002384186, 0.07930000001192093, 0.02010000002384186, 0.019899999976158142, -0.07430000001192093, 0.002300000011920929, 0.12910000002384187, -0.16369999998807908, -0.0485]","{""mean"": 0.14599999999403954, ""std"": 0.03716922262167576, ""min"": 0.0975, ""max"": 0.22439999997615814}","{""mean"": 0.1419555555515819, ""std"": 0.06427869225605108, ""min"": 0.060699999988079074, ""max"": 0.2571999999880791}","{""mean"": -0.009433333330684237, ""std"": 0.08663209567531152, ""min"": -0.16369999998807908, ""max"": 0.12910000002384187}",10,1.3750999999642373,0.4444444444444444,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
"[0.169, 0.1245999999642372, 0.148, 0.13530000001192094, 0.16080000001192093, 0.13160000002384187, 0.103, 0.21639999997615814, 0.165, 0.10930000001192093]","[0.1284000000357628, 0.20259999996423722, 0.16880000001192094, 0.16030000001192093, 0.07189999997615815, 0.10190000003576279, 0.24839999997615814, 0.06930000001192092, 0.115]","[-0.040599999964237216, 0.078, 0.02080000001192093, 0.025, -0.08890000003576279, -0.02969999998807907, 0.14539999997615813, -0.14709999996423723, -0.05]","{""mean"": 0.1463, ""std"": 0.03340658617150853, ""min"": 0.103, ""max"": 0.21639999997615814}","{""mean"": 0.14073333333598242, ""std"": 0.05995131356932064, ""min"": 0.06930000001192092, ""max"": 0.24839999997615814}","{""mean"": -0.009677777773804139, ""std"": 0.08804255756595473, ""min"": -0.14709999996423723, ""max"": 0.14539999997615813}",10,1.3759000000357628,0.5555555555555556,0,"[""t"", ""e"", ""s"", ""t"", ""i"", ""n"", ""g"", ""1"", ""2"", ""3""]","[""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*"", ""*""]",Testing,enrollment,good,100,weak,3
